emiten,stock name
AMFG,Asahimas Flat Glass Tbk
AMIN,PT Ateliers Mecaniques D Indonesie Tbk.
APII,PT Arita Prima Indonesia Tbk.
ARKA,PT Arkha Jayanti Persada Tbk.
ARNA,Arwana Citramulia Tbk
CAKK,Cahayaputra Asa Keramik Tbk
CCSI,Communication Cable Systems Indonesia Tbk
CTTH,Citatah Tbk
HEXA,Hexindo Adiperkasa Tbk
IKBI,Sumi Indo Kabel Tbk
IMPC,Impack Pratama Industri Tbk
INTA,Intraco Penta Tbk
JECC,Jembo Cable Company Tbk
KBLI,KMI Wire & Cable Tbk
KBLM,Kabelindo Murni Tbk
KIAS,Keramika Indonesia Assosiasi Tbk
KOBX,Kobexindo Tractors Tbk
KOIN,Kokoh Inti Arebama Tbk
KPAL,Steadfast Marine Tbk
KRAH,PT Grand Kartech Tbk
MARK,PT Mark Dynamics Indonesia Tbk.
MLIA,Mulia Industrindo Tbk
SCCO,Supreme Cable Manufacturing & Commerce Tbk
SINI,Singaraja Putra Tbk
SKRN,Superkrane Mitra Utama Tbk
SPTO,Surya Pertiwi Tbk
TOTO,Surya Toto Indonesia Tbk
UNTR,United Tractors Tbk
VOKS,Voksel Electric Tbk
