emiten,stock name
AMFG,Asahimas Flat Glass Tbk
AMIN,PT Ateliers Mecaniques D Indonesie Tbk.
APII,PT Arita Prima Indonesia Tbk.
ARKA,PT Arkha Jayanti Persada Tbk.
ARNA,Arwana Citramulia Tbk
CAKK,Cahayaputra Asa Keramik Tbk
CCSI,Communication Cable Systems Indonesia Tbk
CTTH,Citatah Tbk
HEXA,Hexindo Adiperkasa Tbk
IMPC,Impack Pratama Industri Tbk
INTA,Intraco Penta Tbk
JECC,Jembo Cable Company Tbk
KBLI,KMI Wire & Cable Tbk
KIAS,Keramika Indonesia Assosiasi Tbk
KOIN,Kokoh Inti Arebama Tbk
KPAL,Steadfast Marine Tbk
KRAH,PT Grand Kartech Tbk
MARK,PT Mark Dynamics Indonesia Tbk.
MLIA,Mulia Industrindo Tbk
SCCO,Supreme Cable Manufacturing & Commerce Tbk
SINI,Singaraja Putra Tbk
SKRN,Superkrane Mitra Utama Tbk
SPTO,Surya Pertiwi Tbk
TOTO,Surya Toto Indonesia Tbk
UNTR,United Tractors Tbk
VOKS,Voksel Electric Tbk
ASGR,Astra Graphia Tbk
BLUE,Berkah Prima Perkasa Tbk
DYAN,Dyandra Media International Tbk
ICON,Island Concepts Indonesia Tbk
INDX,Tanah Laut Tbk
JTPE,Jasuindo Tiga Perkasa Tbk
KONI,Perdana Bangun Pusaka Tbk
LION,Lion Metal Works Tbk
MDRN,Modern Internasional Tbk
MFMI,Multifiling Mitra Indonesia Tbk
SOSS,Shield on Service Tbk
TIRA,Tira Austenite Tbk
TRIL,Triwira Insanlestari Tbk
ABMM,ABM Investama Tbk
ASII,Astra International Tbk
BHIT,PT MNC Investama Tbk.
BMTR,PT Global Mediacom Tbk
BNBR,Bakrie & Brothers Tbk
MLPL,Multipolar Tbk
EMTK,Elang Mahkota Teknologi Tbk
TFAS,Telefast Indonesia Tbk
