emiten,sales 2021,sales 2020,sales growth,DER,ROA
AMFG,"3,482.42","2,628.14",0.33,1.32,0.06
AMIN,126.41,89.53,0.41,1.14,-0.05
APII,196.58,191.18,0.03,0.49,0.05
ARKA,49.52,40.49,0.22,3.97,-0.02
ARNA,"1,885.43","1,612.59",0.17,0.51,0.21
CAKK,192.80,148.83,0.30,0.88,0.03
CCSI,309.02,172.84,0.79,0.31,0.11
CTTH,63.36,76.58,-0.17,2.28,-0.05
HEXA,"2,558.36","1,521.05",0.68,1.38,0.12
IKBI,"1,607.30",959.71,0.67,0.67,0.01
IMPC,"1,583.67","1,233.36",0.28,0.72,0.08
INTA,443.78,569.57,-0.22,-2.86,-0.32
JECC,"1,265.57","1,095.40",0.16,1.58,-0.04
KBLI,"1,105.12","1,328.94",-0.17,0.16,0.02
KBLM,895.40,657.97,0.36,0.38,0.00
KIAS,402.08,285.99,0.41,0.18,-0.01
KOBX,"1,281.46",525.17,1.44,2.79,0.06
KOIN,"1,779.88",894.80,0.99,8.53,-0.02
KPAL,30.56,30.56,0.00,3.15,-0.02
KRAH,179.50,179.50,0.00,16.33,-0.05
MARK,832.15,344.47,1.42,0.67,0.31
MLIA,"3,190.36","2,759.79",0.16,0.91,0.08
SCCO,"3,621.64","3,128.37",0.16,0.08,0.04
SINI,253.72,196.26,0.29,4.09,0.02
SKRN,258.01,357.83,-0.28,1.68,0.01
SPTO,"1,582.87","1,347.45",0.17,0.54,0.06
TOTO,"1,303.30","1,146.93",0.14,0.65,0.02
UNTR,"57,822.37","46,466.48",0.24,0.59,0.09
VOKS,"1,223.14","1,431.34",-0.15,1.91,-0.06
