emiten,stock name,category,sales growth (St.),DER (St.),ROA (St.),sales growth,DER,ROA
AMFG,Asahimas Flat Glass Tbk,1,0.06018902391830815,-0.174593085278293,0.3377299245874695,0.33,1.32,0.06
AMIN,PT Ateliers Mecaniques D Indonesie Tbk.,1,0.2488897475540855,-0.22900358707845367,-0.7396285348465582,0.41,1.14,-0.05
APII,PT Arita Prima Indonesia Tbk.,1,-0.6474386897158573,-0.4254859546901447,0.2397882464571034,0.03,0.49,0.05
ARKA,PT Arkha Jayanti Persada Tbk.,1,-0.19927447108088586,0.6264504134462937,-0.44580350045545974,0.22,3.97,-0.02
ARNA,Arwana Citramulia Tbk,4,-0.31721242335324673,-0.41944034337901576,1.8068550965429617,0.17,0.51,0.21
CAKK,Cahayaputra Asa Keramik Tbk,1,-0.01057374744510845,-0.3075965341231301,0.04390489019637104,0.3,0.88,0.03
CCSI,Communication Cable Systems Indonesia Tbk,4,1.1452181848240284,-0.47989645649030527,0.8274383152393003,0.79,0.31,0.11
CTTH,Citatah Tbk,1,-1.119190498805301,0.11559625765589679,-0.7396285348465582,-0.17,2.28,-0.05
HEXA,Hexindo Adiperkasa Tbk,4,0.8857546898248345,-0.1564562513449062,0.9253799933696664,0.68,1.38,0.12
IKBI,Sumi Indo Kabel Tbk,1,0.8621670993703623,-0.3710754528899841,-0.15197846606436125,0.67,0.67,0.01
IMPC,Impack Pratama Industri Tbk,1,-0.05774892835405272,-0.35596142461216174,0.5336132808482018,0.28,0.72,0.08
INTA,Intraco Penta Tbk,3,-1.2371284510776617,-1.4381258493042448,-3.3840538443664445,-0.22,-2.86,-0.32
JECC,Jembo Cable Company Tbk,1,-0.34080001380771896,-0.09600013823361658,-0.641686856716192,0.16,1.58,-0.04
KBLI,KMI Wire & Cable Tbk,1,-1.119190498805301,-0.5252385413237725,-0.0540367879339951,-0.17,0.16,0.02
KBLM,Kabelindo Murni Tbk,1,0.13095179528172463,-0.458736816901354,-0.2499201441947274,0.36,0.38,0.0
KIAS,Keramika Indonesia Assosiasi Tbk,1,0.2488897475540855,-0.5191929300126435,-0.3478618223250936,0.41,0.18,-0.01
KOBX,Kobexindo Tractors Tbk,2,2.67841156436472,0.2697593460896852,0.3377299245874695,1.44,2.79,0.06
KOIN,Kokoh Inti Arebama Tbk,2,1.616969993913472,2.004849792383695,-0.44580350045545974,0.99,8.53,-0.02
KPAL,Steadfast Marine Tbk,1,-0.7182014610792739,0.37858034969000637,-0.44580350045545974,0.0,3.15,-0.02
KRAH,PT Grand Kartech Tbk,0,-0.7182014610792739,4.3626382037239875,-0.7396285348465582,0.0,16.33,-0.05
MARK,PT Mark Dynamics Indonesia Tbk.,4,2.6312363834557755,-0.3710754528899841,2.7862718778466236,1.42,0.67,0.31
MLIA,Mulia Industrindo Tbk,1,-0.34080001380771896,-0.2985281171564366,0.5336132808482018,0.16,0.91,0.08
SCCO,Supreme Cable Manufacturing & Commerce Tbk,1,-0.34080001380771896,-0.5494209865682883,0.14184656832673723,0.16,0.08,0.04
SINI,Singaraja Putra Tbk,1,-0.03416133789958065,0.6627240813130673,-0.0540367879339951,0.29,4.09,0.02
SKRN,Superkrane Mitra Utama Tbk,1,-1.3786539938044948,-0.06577208167797186,-0.15197846606436125,-0.28,1.68,0.01
SPTO,Surya Pertiwi Tbk,1,-0.31721242335324673,-0.4103719264123223,0.3377299245874695,0.17,0.54,0.06
TOTO,Surya Toto Indonesia Tbk,1,-0.38797519471666325,-0.3771210642011131,-0.0540367879339951,0.14,0.65,0.02
UNTR,United Tractors Tbk,1,-0.15209929017194151,-0.39525789813449996,0.631554958978568,0.24,0.59,0.09
VOKS,Voksel Electric Tbk,1,-1.0720153178963565,0.0037524484000111373,-0.8375702129769244,-0.15,1.91,-0.06
