No,Industri,Company,Emiten,Category,DER,ROA,Sales Growth,ROE,NPM
1,Industrial Machinery & Components,Asahimas Flat Glass Tbk,AMFG,1,1.32,0.06,0.33,0.13,0.12
2,Industrial Machinery & Components,PT Ateliers Mecaniques D Indonesie Tbk.,AMIN,1,1.14,-0.05,0.41,-0.12,-0.13
3,Industrial Machinery & Components,PT Arita Prima Indonesia Tbk.,APII,1,0.49,0.05,0.03,0.07,0.13
4,Industrial Machinery & Components,PT Arkha Jayanti Persada Tbk.,ARKA,1,3.97,-0.02,0.22,-0.08,-0.16
5,Industrial Machinery & Components,Arwana Citramulia Tbk,ARNA,4,0.51,0.21,0.17,0.32,0.25
6,Industrial Machinery & Components,Cahayaputra Asa Keramik Tbk,CAKK,1,0.88,0.03,0.30,0.06,0.07
7,Industrial Machinery & Components,Communication Cable Systems Indonesia Tbk,CCSI,4,0.31,0.11,0.79,0.14,0.17
8,Industrial Machinery & Components,Citatah Tbk,CTTH,1,2.28,-0.05,-0.17,-0.16,-0.54
9,Industrial Machinery & Components,Hexindo Adiperkasa Tbk,HEXA,4,1.38,0.12,0.68,0.29,0.21
10,Industrial Machinery & Components,Sumi Indo Kabel Tbk,IKBI,1,0.67,0.01,0.67,0.01,0.01
11,Industrial Machinery & Components,Impack Pratama Industri Tbk,IMPC,1,0.72,0.08,0.28,0.13,0.13
12,Industrial Machinery & Components,Intraco Penta Tbk,INTA,3,-2.86,-0.32,-0.22,-,-1.99
13,Industrial Machinery & Components,Jembo Cable Company Tbk,JECC,1,1.58,-0.04,0.16,-0.10,-0.05
14,Industrial Machinery & Components,KMI Wire & Cable Tbk,KBLI,1,0.16,0.02,-0.17,0.02,0.05
15,Industrial Machinery & Components,Kabelindo Murni Tbk,KBLM,1,0.38,-,0.36,-0.01,-0.01
16,Industrial Machinery & Components,Keramika Indonesia Assosiasi Tbk,KIAS,1,0.18,-0.01,0.41,-0.02,-0.03
17,Industrial Machinery & Components,Kobexindo Tractors Tbk,KOBX,2,2.79,0.06,1.44,0.24,0.07
18,Industrial Machinery & Components,Kokoh Inti Arebama Tbk,KOIN,2,8.53,-0.02,0.99,-0.21,-0.01
19,Industrial Machinery & Components,Steadfast Marine Tbk,KPAL,1,3.15,-0.02,0.00,-0.08,-0.50
20,Industrial Machinery & Components,PT Grand Kartech Tbk,KRAH,0,16.33,-0.05,0.00,-0.93,-0.18
21,Industrial Machinery & Components,PT Mark Dynamics Indonesia Tbk.,MARK,4,0.67,0.31,1.42,0.52,0.40
22,Industrial Machinery & Components,Mulia Industrindo Tbk,MLIA,1,0.91,0.08,0.16,0.15,0.15
23,Industrial Machinery & Components,Supreme Cable Manufacturing & Commerce Tbk,SCCO,1,0.08,0.04,0.16,0.05,0.04
24,Industrial Machinery & Components,Singaraja Putra Tbk,SINI,1,4.09,0.02,0.29,0.10,0.01
25,Industrial Machinery & Components,Superkrane Mitra Utama Tbk,SKRN,1,1.68,0.01,-0.28,0.01,0.03
26,Industrial Machinery & Components,Surya Pertiwi Tbk,SPTO,1,0.54,0.06,0.17,0.08,0.11
27,Industrial Machinery & Components,Surya Toto Indonesia Tbk,TOTO,1,0.65,0.02,0.14,0.04,0.06
28,Industrial Machinery & Components,United Tractors Tbk,UNTR,1,0.59,0.09,0.24,0.15,0.18
29,Industrial Machinery & Components,Voksel Electric Tbk,VOKS,1,1.91,-0.06,-0.15,-0.18,-0.14

